IP地址,端口,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,下载速度
47.130.116.139,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,107 ms,8670 kB/s
47.236.71.60,28443,true,NRT,SG,Asia Pacific,Tokyo,亚洲,日本,东京,🇯🇵,236 ms,6401 kB/s
8.219.54.136,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,216 ms,6207 kB/s
8.222.162.205,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,231 ms,6140 kB/s
8.219.198.241,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,226 ms,5831 kB/s
168.110.48.180,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,255 ms,5780 kB/s
8.219.88.178,51898,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,234 ms,5713 kB/s
139.177.185.196,74,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,257 ms,5520 kB/s
165.232.163.215,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,265 ms,5509 kB/s
139.177.185.196,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,268 ms,5145 kB/s
43.218.77.16,1443,true,CGK,ID,Asia Pacific,Jakarta,亚洲,印度尼西亚,雅加达,🇮🇩,142 ms,5088 kB/s
47.236.71.6,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,228 ms,4725 kB/s
159.223.68.162,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,268 ms,4575 kB/s
20.191.143.151,8080,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,152 ms,4573 kB/s
84.247.146.233,7443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,264 ms,4504 kB/s
152.42.236.151,2053,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,290 ms,4446 kB/s
84.247.149.237,7443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,183 ms,4426 kB/s
193.123.241.127,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,252 ms,4372 kB/s
152.67.194.140,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,242 ms,4366 kB/s
209.97.172.130,8080,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,260 ms,4342 kB/s
129.154.200.133,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,251 ms,4327 kB/s
155.248.187.80,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,246 ms,4135 kB/s
94.74.83.173,45069,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,106 ms,4076 kB/s
152.42.241.71,8443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,263 ms,3949 kB/s
130.162.133.149,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,262 ms,3929 kB/s
160.22.79.166,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,260 ms,3923 kB/s
167.172.88.191,444,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,263 ms,3898 kB/s
188.166.182.46,8888,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,254 ms,3664 kB/s
167.172.65.150,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,287 ms,3595 kB/s
146.56.185.174,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,256 ms,3575 kB/s
64.235.61.162,7000,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,325 ms,3155 kB/s
128.199.128.28,123,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,256 ms,3117 kB/s
143.198.196.196,8443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,275 ms,2957 kB/s
172.86.83.44,42935,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,235 ms,2952 kB/s
213.35.104.111,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,380 ms,2952 kB/s
152.42.229.132,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,270 ms,2949 kB/s
138.2.71.48,48397,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,354 ms,2883 kB/s
213.35.100.31,47112,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,363 ms,2733 kB/s
152.69.228.177,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,255 ms,2723 kB/s
129.150.32.171,6443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,364 ms,2672 kB/s
